الفئة: food | المبلغ: 20.0 | اليوم: 1
الفئة: Transport | المبلغ: 20.0 | اليوم: 1
الفئة: Food | المبلغ: 50.0 | اليوم: 1
الفئة: food | المبلغ: 20.0 | اليوم: 1
الفئة: Food | المبلغ: 50.0 | اليوم: 1
الفئة: Transport | المبلغ: 20.0 | اليوم: 1
الفئة: food | المبلغ: 20.0 | اليوم: 1
الفئة: food | المبلغ: 20.0 | اليوم: 1
الفئة: food | المبلغ: 60.0 | اليوم: 2
الفئة: food | المبلغ: 30.0 | اليوم: 1
الفئة: food | المبلغ: 50.0 | اليوم: 2
الفئة: food | المبلغ: 10.0 | اليوم: 2
الفئة: food | المبلغ: 30.0 | اليوم: 1
الفئة: food | المبلغ: 50.0 | اليوم: 2
الفئة: food | المبلغ: 10.0 | اليوم: 2
الفئة: food | المبلغ: 30.0 | اليوم: 1
الفئة: food | المبلغ: 50.0 | اليوم: 2
الفئة: food | المبلغ: 10.0 | اليوم: 2
الفئة: food | المبلغ: 30.0 | اليوم: 1
الفئة: food | المبلغ: 50.0 | اليوم: 2
الفئة: food | المبلغ: 30.0 | اليوم: 1
الفئة: food | المبلغ: 50.0 | اليوم: 2
الفئة: food | المبلغ: 20.0 | اليوم: 1
الفئة: food | المبلغ: 60.0 | اليوم: 1
الفئة: food | المبلغ: 1.0 | اليوم: 1
الفئة: food | المبلغ: 1.0 | اليوم: 2
الفئة: food | المبلغ: 70.0 | اليوم: 1
الفئة: food | المبلغ: 81.0 | اليوم: 1
الفئة: food | المبلغ: 81.0 | اليوم: 1
الفئة: food | المبلغ: 85.0 | اليوم: 1
الفئة: food | المبلغ: 5.0 | اليوم: 1
الفئة: food | المبلغ: 85.0 | اليوم: 1
الفئة: food | المبلغ: 85.0 | اليوم: 1
الفئة: food | المبلغ: 40.0 | اليوم: 1
الفئة: food | المبلغ: 45.0 | اليوم: 1
الفئة: 10 | المبلغ: 10.0 | اليوم: 1
الفئة: food | المبلغ: 20.0 | اليوم: 1
